cap,ini,label,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
0,2,0,0,2,0,1,0,5,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,9,0,1,0,3,0,0,0,0,1,2,1,1,5
0,2,0,1,1,4,0,0,9,3,0,1,2,1,2,5,0,2,0
0,2,0,2,3,8,2,0,4,3,1,2,5,0,3,1,0,1,9
2,0,0,1,1,6,3,2,8,3,0,3,1,0,2,9,1,1,4
3,1,0,1,1,2,2,0,7,3,0,2,8,2,2,4,1,3,8
2,0,0,1,1,5,2,0,2,0,2,2,4,3,4,8,1,1,7
2,0,0,1,3,3,2,0,6,2,3,4,7,2,2,7,1,1,2
2,0,0,0,2,1,2,2,3,2,2,2,6,2,2,3,1,1,6
2,0,0,2,0,7,0,1,1,2,2,2,3,2,2,6,1,3,3
